tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,polyline
266,6/4/15 15:34,6/4/15 15:39,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,238,Bank St & Washington St,40.7361967,-74.00859207,17017,Subscriber,1979,1,}yswFfstbMcAf@iAu@}EpObDX~Fl@~Eb@lAFFHp@LDJIlB?xD?dD`AFxAHDn@
716,6/4/15 17:19,6/4/15 17:31,238,Bank St & Washington St,40.7361967,-74.00859207,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,17017,Subscriber,1981,1,_hswFrxubMw@mKMuBE]a@WUUIKHMJKLKNI|AYhF_A`FaA\Mb@YtBgAtBcAhDcBjHkD~@YHI`DkIkIyG
774,6/4/15 17:36,6/4/15 17:49,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,2003,1 Ave & E 18 St,40.73381219,-73.98054421,17017,Subscriber,1973,1,kdrwF||sbMi@a@`AeCNg@hCyGWSaEcD[c@{CgCuB_BmBaBdHoTlBgG|DaMfEyM_Am@yDiC_C{AoEuCeK}Ge@YRa@QK
565,6/5/15 8:19,6/5/15 8:28,2003,1 Ave & E 18 St,40.73381219,-73.98054421,470,W 20 St & 8 Ave,40.74345335,-74.00004031,17017,Subscriber,1985,1,iyrwFhipbMPJS`@u@e@iFmDaAm@eEvMiGrR{B~GcAjDsGjSgLb^gIlWtBrAM`@
1514,6/5/15 8:30,6/5/15 8:56,470,W 20 St & 8 Ave,40.74345335,-74.00004031,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,17017,Subscriber,1965,1,yutwF`ctbMzVqw@tMtIvE~Cj@^lG~DtFxDtKbHuCnHKXTRrEpDlC}GFUvBhBtMnKtFfErFhE`AkCxCsHfA_DXg@~ByGdA_DpC|BbBrAnElDnDzCrCfC~EhEdFhEpBxA`CT^DbBb@~Ah@ZBPNzBrBR`@v@x@T^Xt@XjAZ`BFRPCZKXUrAeBr@{@bDeDhBrBLTzAlBpAdB`BhB`BfAb@ZbAdANW
775,6/5/15 10:14,6/5/15 10:27,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,311,Norfolk St & Broome St,40.7172274,-73.98802084,17017,Subscriber,1983,2,mrmwFlpubMlAiBLIfBeC`DgFHMBE_@s@oAyBh@m@mA{BoBaESe@aCwGg@gAW[Yo@g@uAM[kAaD_@sAk@}D}@{KYiDEqAc@gFKiAEk@G}@y@kJk@BImAe@qGKaCW{CqBPwBHmF`@aD`@m@Fq@Be@AqABuAO{Ag@w@_@}DiBq@dD{@fDf@R
653,6/5/15 11:39,6/5/15 11:50,311,Norfolk St & Broome St,40.7172274,-73.98802084,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,17017,Subscriber,1983,2,qqowFxwqbM|CpAdBiI~A_Ip@_DhCxAbAd@nA`@z@DpAGpGg@|DWXtEj@nHLvCl@hIj@CNlBl@vG@N@TDj@b@~ENdBDtAl@dHR`CPbC`@tCTfA^nA`AhCJXz@xBV\l@nAnCtHZp@xBlEl@dAi@l@nBlDkBtCcAdBcB`CGD{@hA[f@
520,6/5/15 12:12,6/5/15 12:21,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,2010,Grand St & Greene St,40.72165481,-74.00234737,17017,Customer,,0,mrmwFlpubM[j@KFaC~AsEtDw@d@g@p@Ub@yCfI{EoCyBcAKCqBsAyL{ImLqIwB_ByByAMGKBG?[IOEcAGaIDsCqBoCyB{@q@j@}A`BcE
878,6/5/15 14:12,6/5/15 14:26,2010,Grand St & Greene St,40.72165481,-74.00234737,404,9 Ave & W 14 St,40.7405826,-74.00550867,17017,Subscriber,1951,1,ompwFpqtbMHWyD}CeCnGW`@sFmEqFiEcAjCyCnHGTmAlWCfAEtBMxCqCUgAK}E}@eSiDgG_Ae@MyB_@qCa@oCm@uAOgCEoFCcCAQCOEs@i@{CsB
756,6/5/15 17:38,6/5/15 17:50,404,9 Ave & W 14 St,40.7405826,-74.00550867,251,Mott St & Prince St,40.72317958,-73.99480012,17017,Subscriber,1977,1,{ctwF`fubMaAk@Ri@~Gp@rJz@rAFLCJIh@o@XU`AUhASdGgArCi@\Kd@Yb@SxDsBf@SzEaCbD{AfAi@p@QRMDKjFyMhHyQnEcLJa@b@_ChExA`H~B
